"","CD_REFNIS_SECTOR","TX_SECTOR_DESCR_NL","halal_store"
"237","57081U01-","MAIRE",1
"238","61031A20-","HUY - CENTRE RIVE GAUCHE",1
"239","62003A001","ANS-CENTRE",2
"240","62003A40-","PLATEAU",1
"241","62038A10-","LE CLEF-CENTRE",1
"242","62038A11-","LA CLEF - HABITATIONS DISP.",1
"243","62038B101","RETINNE-GARE",1
"244","62051A001","HERSTAL-CENTRE",3
"245","62063A00-","SAINT-LAMBERT",3
"246","62063A50-","SAINTE-MARGUERITE",2
"247","62063A601","SAINTE-WALBURGE",1
"248","62063A62-","JEAN-DE-WILDE",1
"249","62063A71-","BONNE-NOUVELLE",2
"250","62063A7MN","HALLE DES FOIRES",2
"251","62063A83-","L'ESPERANCE",4
"252","62063B10-","YSER",3
"253","62063B12-","CONGRES",1
"254","62063B13-","MEAN",1
"255","62063B20-","VILLETTE",1
"256","62063B31-","LUXEMBOURG",1
"257","62063B80-","DROIXHE",1
"258","62063E00-","BRESSOUX-CENTRE",2
"259","62063F00-","GRIVEGNEE-CENTRE",1
"260","62063F401","SERVAIS-MALAISE",1
"261","62079B00-","HACCOURT-CENTRE OUEST",1
"262","62079E000","HERMEE-CENTRE",1
"263","62093C042","L'ESPERANCE",1
"264","62093C301","CHAUSSEE",1
"265","62096A000","FOND DE SERAING",1
"266","62096A07-","COCKERILL",1
"267","62096A221","LA BERGERIE-BAS",2
"268","62096B001","JEMEPPE-CENTRE",3
"269","62108D180","LES SARTS",1
"270","62120A811","FLEMALLE-GRANDE-CENTRE SUD",1
"271","63079A03-","GARES CENTRALE ET OUEST",1
"272","63079A600","HODIMONT",3
"273","71004C2MJ","KOOLMIJN - KOERSEL",1
"274","71016A300","WINTERSLAG - TUINWIJK I",3
"275","71016B11-","OUD-WATERSCHEI",2
"276","71016B1AB","WATERSCHEI-ZUID",2
"277","71016B1BB","WATERSCHEI-NOORD",2
"278","71022A021","STADSOMVAART",1
"279","71022A301","RUNKST - SINT-HUBERTUS",1
"280","71022A401","HEILIG HART",1
"281","71022A423","VRIJWILLIGERSPLEIN",1
"282","71022A501","BANNEUXWIJK",1
"283","71022A5MB","PHILIPS",2
"284","71034A00-","LEOPOLDSBURG-CENTRUM",1
"285","71053A001","SINT-TRUIDEN-CENTRUM",1
"286","71053A312","SINT-TRUIDEN - LUIKERSTEENWEG",1
"287","72020A001","LOMMEL-CENTRUM",2
"288","72021A042","HET HAMONT",1
"289","72021A312","KONINGIN ASTRIDLAAN",2
"290","72039A3PA","HOUTHALEN-NATUUR",1
"291","73006A020","BILZEN - STATION",1
"292","73107A302","MARIAHEIDE",1
"293","73107D101","PAUWENGRAAF",3
"294","73107D201","TUINWIJK",1
"295","81001A00-","SAINT-DONAT",2
"296","81001A201","SEMOIS",1
"297","81001A312","SAINT-DIE",1
"298","81004B00-","ATHUS-CENTRE",1
"299","82003A01-","BASTOGNE-EGLISE-PT SEMINAIRE",1
"300","82003A0PA","ISLE LA HESSE",1
"301","82003B09-","WARDIN-HABITATIONS DISPERSEES",1
"302","85045A00-","VIRTON-CENTRE",1
"303","85045D010","VIEUX VIRTON",1
"304","92094A05-","PORTE DE BRUXELLES",1
"305","92094A391","BASSE MARLAGNE",1
"306","92094A422","SAINTE-JULIENNE",1
"307","92094A601","PONT DE LOUVAIN",3
"308","92094A63-","PRISON",2
"309","92094B00-","JAMBES-CENTRE",1
"310","92094B301","VERRERIES",1
"311","92137D101","LES ALLOUX - SAINTE BARBE",1
